Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
false,01-Tasks,TC001_LEM_Verify_Task_creation_with_TaskOutcome_and_Channel_values,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC002_LEM_Verify_Coding_Request_popup_for_TaskOutcome_ReportedDeceased,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC003_LEM_Verify_Coding_Request_popup_for_TaskOutcome_RequestUncode,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC004_LEM_Verify_LEM_User_can_Clone_Task_record,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC005_LEM_Verify_LEM_User_can_create_Task_from_any_Contact,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC006_LEM_Verify_LEM_User_Task_View_List_options,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC007_LEM_Verify_LEM_User_can_reassign_Task_to_another_User,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC009_LEM_Verify_LEM_User_access_on_Sitemap_and_Entity_options,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC010_Admin_Verify_Coding_Request_popup_for_TeskOutcome_ReportedDecreased,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC011_Admin_Verify_Coding_Request_popup_for_Taskoutcome_RequestUncode,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC012_Admin_Verify_Coding_Request_popup_not_populated_for_other_TaskOutcome,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC013_VIPHost_Verify_Task_creation_with_TaskOutcome_and_Channel_values,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC014_VIPHost_User_create_Task_from_contact,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC015_VIPHost_Verify_the_Task_layout_page,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC016_VIPHost_Create_task_not_using_Channel_option,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC017_VIPHost_Verify_ATT(Crop)_Task_View,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC018_Admin_Verify_ATT(Crop)_Task_View,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC019_VIPHost_Verify_Task_View_List_options_and_verify_tier_status,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC020_VIPHost_Verify_Multiple_Task_should_be_Edited_and_Canceled_MyTask_view,Single,Passed,Chrome Headless,Default,Any
false,01-Tasks,TC022_VIPHost_Verify_Multiple_Task_Assign,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC023_VIPHost_Verify_Multiple_Task_CreateSegments_Addsegments,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC024_Admin_Verify_Task_View_List_options_and_verify_tier_status,Single,Passed,Chrome,Default,Any
false,01-Tasks,TC025_LEM_Verify_Task_View_List_options_and_verify_tier_status,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC001_LEM_Verify_ContactLookup_validation,Single,Passed,Chrome Headless,Default,Any
false,02-ContactLookup,TC002_LEM_Verify_single_record_CRM_search_on_ContactLookup,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC003_LEM_Verify_multiple_record_CRM_search_on_ContactLookup,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC004_LEM_Verify_single_record_CIDL_search_on_Contact_Lookup,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC005_LEM_Verify_multiple_record_CIDL_search_on_Contact_Lookup,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC006_LEM_Verify_CIDL_data_on_ContactLite_page,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC007_LEM_Verify_Contact_and_Task_created_from_ContactLite_page,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC008_LEM_Admin_Verify_Contact_and_Task_created_from_ContactLite_page,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC009_LEM_Admin_Verify_single_record_CRM_search_on_ContactLookup,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC010_VIPHost_Verify_Contact_lookup_create_request_softcode,Single,Passed,Chrome,Default,Any
false,02-ContactLookup,TC011_VIPHost_Verify_Contact_after_canceling_ContactLite_CodingRequest,Single,Passed,Chrome,Default,Any
true,04-Contact,TC001_VIPHost_Verify Players_Views_filtering_Criteria_HostRelationship,Single,Failed,Chrome,Default,Any
false,04-Contact,TC002_LEM_Verify_LEM_User_Contact_View_List_options,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC001_VIPHost_creating_a_Segment_customer_journey_in_general_tab_lock_the_time_zone,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC002_VIPHost_Creaing_Marketing_Email,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC003_VIPHost_Creating_Coustomer_journal,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC004_VIPHost_Creating_Segment_Customer_Journal,Single,Failed,Chrome,Default,Any
