Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,"  ",,
2,Execute,,Login_RC:Select MGM LEM Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Task button in commandbar,,,
5,Execute,,Tasks_RC:Fills the Task Subject in the Task creation page,,,
6,Execute,,Tasks_RC:Click on Mark Complete button in commandbar,,,
7,lbl_TaskOutcome_ErrMsg,Assert if [<Object>]'s Text Contains [Ignorecase] [<Data>],assertElementTextIContains,@Task Outcome: You are required to enter a task outcome prior to marking the task as complete.,,Tasks_Entity
8,Execute,,Tasks_RC:Fills Task Description Testbox in the Task creation page,,,
9,Execute,,Tasks_RC:Fills Player Lookup field in the Task creation page,,,
10,Execute,,Tasks_RC:Verfies the Channel Dropdown all options and select one option,,,
11,Execute,,Tasks_RC:Verfies the Task Outcome option and select one option,,,
12,Execute,,Tasks_RC:Verfies the Task completion Comment Textbox and fills some text,,,
13,Execute,,Tasks_RC:Select Task Follow up Date from Calender,,,
14,Execute,,Tasks_RC:Click on Save button,,,
15,Execute,,Tasks_RC:Verifies Substatus value is In-progress,,,
16,Execute,,Tasks_RC:Click on Mark Complete button in commandbar,,,
17,Execute,,CodingRequest_RC:Verifies that Coding Request Popup is not opened,,,
18,Execute,,Tasks_RC:Verifies Substatus value is Completed,,,
19,Execute,,Tasks_RC:Delete record from commandbar,,,
