Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM LEM Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Task button in commandbar,,,
5,Execute,,Tasks_RC:Create a Task,,,
6,Execute,,Tasks_RC:Click on Mark Complete button in commandbar,,,
7,Execute,,CodingRequest_RC:Verifies that Coding Request popup should be opened,,,
8,Execute,,CodingRequest_RC:Verifies all the fields in Coding Request popup,,,
9,Execute,,Tasks_RC:Verifies Error Message while not filling the Comment texbox,,,
10,Execute,,CodingRequest_RC:Fills the Requester Comment textbox and clicks on Save and Close button,,,
11,Execute,,CodingRequest_RC:Delete Coding Request,,,
12,Execute,,Tasks_RC:Verifies Substatus value is Completed,,,
13,Execute,,Tasks_RC:Delete record from commandbar,,,
