Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM LEM Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Tasks View List,,,
5,Execute,,Tasks_RC:Verifies Task View list dropdown options,,,
6,Execute,,Tasks_RC:Select My Task option,,,
7,Execute,,Tasks_RC:Select NBA Option,,,
8,Execute,,Tasks_RC:Select Pre-Arrival option,,,
9,Execute,,Tasks_RC:Select Past Due Option,,,
10,Execute,,Tasks_RC:Select Outbound Outreach option,,,
11,Execute,,Tasks_RC:Select Post check out option,,,
12,Execute,,Tasks_RC:Select My Follow up Task option,,,
13,Execute,,Tasks_RC:Select My Completed Task,,,
