Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM Host Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Tasks View List,,,
5,opt_MyTask_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
6,Option_My_smart_player_outreach,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
7,opt_1b._My_Cross-Regional_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
8,opt_2a._My_New_Leads,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
9,opt_2b._My_BetMGM_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
10,opt_My_Follow_Up_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
11,opt_4._My_JSX_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
12,opt_5.My_Aviation_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
13,opt_6.My_Las_Vegas_Events_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
14,opt_7a.My_Soft_Code_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
15,opt_7b.My_Hard_Code_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
16,opt_9a.Sweeps,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
17,opt_9b_keeps,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
18,opt_My_Contacts_This_Quarter,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
19,opt_My_Contacts_Today,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
20,opt_My_Upcoming_Arrivals-Next7_Days,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
21,opt_CompletedTask_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
22,option_My_contact_this_month,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
23,opt_2b._My_BetMGM_Tasks,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
