Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM Host Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Task button in commandbar,,,
5,Execute,,Tasks_RC:Fills the Task Subject in the Task creation page,,,
6,Execute,,Tasks_RC:Fills Task Description Testbox in the Task creation page,,,
7,Execute,,Tasks_RC:Fills Player Lookup field in the Task creation page,,,
8,ddl_TaskOutCome,"Click the [<Object>] ",selectByVisibleText,Tasks:TaskOutcome,,Tasks_Entity
9,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
10,Execute,,Tasks_RC:Verfies the Task completion Comment Textbox and fills some text,,,
11,Execute,,Tasks_RC:Click on Save button,,,
"//12",Execute,,Tasks_RC:Click on Flow button,,,
13,Execute,,Tasks_RC:Click on Clone a Task,,,
"//14",Execute,,Tasks_RC:Click on OK button in Confirm Application of Workflow pop up,,,
15,Execute,,Tasks_RC:Verifies that clone Task has been created,,,
16,radio_btn_SelectTask,Click on [<Object>],clickByJS,,,Tasks_View
17,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
18,Browser,"Select the option from MSCRM Commandbar. ",MSCRM_SelectCommandbarOption,@Assign,,
19,Browser,Add a variable to access within testcase,AddVar,Tasks:ReassignTo,%ReassignTo%,
20,Execute,,Tasks_RC:Reassign the Task to different user,,,
