Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM Host Dynamics App from App List,,,
3,Execute,,Tasks_RC:Click on Task Entity,,,
4,Execute,,Tasks_RC:Click on Task button in commandbar,,,
5,Execute,,Tasks_RC:Fills the Task Subject in the Task creation page,,,
6,Execute,,Tasks_RC:Fills Task Description Testbox in the Task creation page,,,
7,Execute,,Tasks_RC:Fills Player Lookup field in the Task creation page,,,
8,ddl_TaskOutCome,"Click the [<Object>] ",selectByVisibleText,Tasks:TaskOutcome,,Tasks_Entity
9,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
10,Execute,,Tasks_RC:Verfies the Task completion Comment Textbox and fills some text,,,
11,Execute,,Tasks_RC:Click on Save button,,,
"//12",Execute,,Tasks_RC:Click on Flow button,,,
13,Execute,,Tasks_RC:Click on Clone a Task,,,
"//14",Execute,,Tasks_RC:Click on OK button in Confirm Application of Workflow pop up,,,
15,Execute,,Tasks_RC:Verifies that clone Task has been created,,,
16,radio_btn_SelectTask,Click on [<Object>],clickByJS,,,Tasks_View
17,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
18,Browser,"Select the option from MSCRM Commandbar. ",MSCRM_SelectCommandbarOption,@Create Segment,,
19,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
20,Browser,Add a variable to access within testcase,RandomVariableCreation,@Segment_,%Segment%,
21,Name_textbox,Enter the value [<Data>] in the Field [<Object>],Click,,,Marketing_view
22,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
23,Name_textbox,Enter the value [<Data>] in the Field [<Object>],clear,,,Marketing_view
24,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
25,Name_textbox,Enter the value [<Data>] in the Field [<Object>],Set,%Segment%,,Marketing_view
26,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
27,Description_textbox,Enter the value [<Data>] in the Field [<Object>],Set,@testing a segment,,Marketing_view
28,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
29,btn_SaveAndClose,"Click the [<Object>] ",Click,,,CodingRequests_Entity
30,Browser,Wait for [<Data>] milli seconds,pause,@13000,,
31,Browser,"Open the Entity from Sitemap Sub-area in MSCRM. ",MSCRM_OpenSitemapSubArea,@Segments,,
32,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
33,1st_record_task_radio_button,Double click [<Object>] element,clickByJS,,,Tasks_View
34,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
35,1st_record_task_radio_button,Double click [<Object>] element,doubleClickElement,,,Tasks_View
36,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
37,txt_contact,Assert if [<Object>]'s Text Contains [Ignorecase] [<Data>],assertElementTextIContains,Tasks:Regarding,,Marketing_view
38,Browser,"Open the Entity from Sitemap Sub-area in MSCRM. ",MSCRM_OpenSitemapSubArea,@Tasks,,
39,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
40,Execute,,Tasks_RC:Verifies that clone Task has been created,,,
41,radio_btn_SelectTask,Click on [<Object>],clickByJS,,,Tasks_View
42,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
43,btn_MoreCommand,"Click the [<Object>] ",Click,,,Tasks_View
44,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
45,Browser,"Select the option from MSCRM Commandbar. ",MSCRM_SelectCommandbarOption,@Add to Segment,,
46,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
47,Select_record_textbox,Enter the value [<Data>] in the Field [<Object>],Set,%Segment%,,Marketing_view
48,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
49,Browser,Click on the Random Variable that is matching with the Xpath provided,ClickOnRandomElement,%Segment%,//span/span[text()=';'],
50,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
51,Add_button,"Click the [<Object>] ",Click,,,Marketing_view
52,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
