Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM LEM Dynamics App from App List,,,
3,Execute,,ContactLookup_RC:Clicks on ContactLookup button on left side panel,,,
4,Execute,,ContactLookup_RC:Search on Contact Lookup,,,
5,txt_ContactListName,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,ContactLookup:ContactName,"#fullname",ContactLookup
6,txt_ContactListName,Click the [<Object>] if it is displayed,assertElementDisplayed,,,ContactLookup
7,txt_ContactListName,Click on [<Object>],clickByJS,,,ContactLookup
8,Browser,Wait for [<Data>] milli seconds,pause,@15000,,
9,Execute,,ContactLookup_RC:Verify CIDL Contact on Contact Lite page,,,
10,btn_Back,"Click the [<Object>] ",Click,,,ContactLite_CIDL
11,txt_ContactListName,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,ContactLookup:ContactName,"#fullname",ContactLookup
12,txt_ContactListName,Click the [<Object>] if it is displayed,assertElementDisplayed,,,ContactLookup
