Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM Admin Dynmics from app list,,,
3,Execute,,ContactLookup_RC:Clicks on ContactLookup button on left side panel,,,
4,Execute,,ContactLookup_RC:Search Mgm id in contact loopup  for contact record,,,
5,txt_MGM_ID,Assert if [<Object>]'s Text Contains [Ignorecase] [<Data>],assertElementTextIContains,%mgmid%,,ContactLite_CIDL
6,Browser,"Capture the CIDL Contact details from Contact Lite page. ",MSCRM_CaptureCIDLContactDetails,,,
7,btn_CreateTask,Assert if [<Object>] is present,Click,,,ContactLite_CIDL
8,Browser,Wait for [<Data>] milli seconds,pause,@40000,,
9,Execute,,Tasks_RC:Fills the Task Subject in the Task creation page,,,
10,Execute,,Tasks_RC:Fills Task Description Testbox in the Task creation page,,,
11,ddl_Channel,"Click the [<Object>] ",selectByVisibleText,@Email,,Tasks_Entity
12,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
"//13",opt_Email_Channel,Highlight the element [<Object>],Click,,,Tasks_Entity
"//14",Browser,Wait for [<Data>] milli seconds,pause,@2000,,
15,Execute,,Tasks_RC:Select LEM Rejected option in TaskOutcome dropdown,,,
16,Execute,,Tasks_RC:Verfies the Task completion Comment Textbox and fills some text,,,
17,Browser,"Verify the CRM Contact details created from CIDL Contact Lite page. ",MSCRM_VerifyCIDLDataOnTask,,,
18,Execute,,Tasks_RC:Click on Mark Complete button in commandbar,,,
19,Browser,Wait for [<Data>] milli seconds,pause,@10000,,
20,Execute,,Tasks_RC:Click on Task Entity,,,
21,Execute,,Tasks_RC:Verifies Substatus value is Completed,,,
22,Execute,,ContactLookup_RC:Recover the CIDL Data,,,
