Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,Login_RC:Log in to MS Dynamics App with LEM User,,,
2,Execute,,Login_RC:Select MGM Host Dynamics App from App List,,,
3,Browser,"Open the Entity from Sitemap Sub-area in MSCRM. ",MSCRM_OpenSitemapSubArea,@Marketing Emails,,
4,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
5,Browser,"Refresh current page ",MSCRM_SelectCommandbarOption,@New,,
6,Browser,Wait for [<Data>] milli seconds,pause,@7000,,
7,btn_BirthDay_radio,"Click the [<Object>] ",clickByJS,,,Marketing_view
8,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
9,Select_button,"Click the [<Object>] ",Click,,,Marketing_view
10,Browser,Wait for [<Data>] milli seconds,pause,@10000,,
11,textbox_Email_EmalCreation,Clear text [<Data>] from object [<Object>].,Click,,,Marketing_view
12,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
13,textbox_Email_EmalCreation,Clear text [<Data>] from object [<Object>].,clearByJS,,,Marketing_view
14,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
15,Browser,"Creating Random Variable ",RandomVariableCreation,@Email_,%Email%,
16,textbox_Email_EmalCreation,Enter the value [<Data>] in the Field [<Object>],Set,%Email%,,Marketing_view
17,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
18,Browser,"Select the option from MSCRM Commandbar. ",MSCRM_SelectCommandbarOption,@Save,,
19,Browser,Wait for [<Data>] milli seconds,pause,@37000,,
20,cogWheel_Icon,"Click the [<Object>] ",Click,,,Marketing_view
21,Browser,Wait for [<Data>] milli seconds,pause,@12000,,
22,textbox_subject,Highlight the element [<Object>],highlight,,,Marketing_view
23,textbox_subject,Assert if [<Object>] is present,assertElementPresent,,,Marketing_view
24,Textbox_ToAddress,Highlight the element [<Object>],highlight,,,Marketing_view
25,Textbox_ToAddress,Assert if [<Object>] is present,assertElementPresent,,,Marketing_view
26,Textbox_fromAddress,Highlight the element [<Object>],highlight,,,Marketing_view
27,Textbox_fromAddress,Assert if [<Object>] is present,assertElementPresent,,,Marketing_view
28,textbox_From_Name,Highlight the element [<Object>],highlight,,,Marketing_view
29,textbox_From_Name,Assert if [<Object>] is present,assertElementPresent,,,Marketing_view
"//30",textbox_From_Name,Assert if [<Object>]'s Attribute Contains [<Data>],assertElementAttrContains,Task_view:Owner,,Marketing_view
31,Save_button,"Click the [<Object>] ",Click,,,Marketing_view
32,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
33,btn_Go_Live,Highlight the element [<Object>],highlight,,,Marketing_view
34,btn_Go_Live,"Click the [<Object>] ",Click,,,Marketing_view
35,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
