Step,ObjectName,Description,Action,Input,Condition,Reference
1,btn_New_Host_Relationship,Click on [<Object>],clickByJS,,,Contacts_Entity
2,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
3,textbox_Property,"Click the [<Object>] ",Click,,,Contacts_Entity
4,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
5,textbox_Property,Enter the value [<Data>] in the Field [<Object>],Set,@Aria,,Contacts_Entity
6,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
7,Browser,Click on the Random Variable that is matching with the Xpath provided,ClickOnRandomElement,@Aria,//span/span[text()=';'],
8,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
9,Type_Dropdown,"Click the [<Object>] ",selectByVisibleText,CodingRequest:RelationshipType,,Contacts_Entity
"//10",Softcode_option_TypeDropdown,"Click the [<Object>] ",Click,,,Contacts_Entity
11,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
12,Browser,"Select the option from MSCRM Commandbar. ",MSCRM_SelectCommandbarOption,@Save & Close,,
13,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
