Step,ObjectName,Description,Action,Input,Condition,Reference
1,lbl_MGM_Rewards_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
2,lbl_LastName_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
3,lbl_FirstName_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
4,lbl_TierStatus_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
5,lbl_LastContactDate_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
6,lbl_LastContactedProperty_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
7,lbl_Birthday_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
8,lbl_NextBirthday_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
9,lbl_City_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
10,lbl_State_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
11,btn_Edit_Coulmn_Filter,"Click the [<Object>] ",Click,,,Contacts_View
12,Browser,Wait for [<Data>] milli seconds,pause,@10000,,
13,lbl_HomePhone_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
14,lbl_MobilePhone_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
15,lbl_Email_Col,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
16,lbl_View_Col12,Assert if [<Object>] is present,assertElementPresent,,,Contacts_View
17,lbl_View_Col13,Assert if [<Object>] is present,assertElementNotPresent,,,Contacts_View
18,btn_Cancel_Edit_Column,"Click the [<Object>] ",Click,,,Contacts_View
19,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
