Step,ObjectName,Description,Action,Input,Condition,Reference
1,contact_roomReservation,Select item in [<Object>] which has text: [<Data>],assertElementPresent,,,Reservation_Request
2,value_name_Contact_RR,Assert if [<Object>]'s Text Contains [<Data>],assertElementTextContains,%SearchData%,,Reservation_Request
3,Browser,Select the  today Date,SelectTodayDateNow,,%Date%,
4,Datebox_Arrival_Date,Enter the value [<Data>] in the Field [<Object>],Set,%Date%,,Reservation_Request
5,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
6,Browser,Scroll to bottom,scrollToBottom,,,
7,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
8,Arrival_Date_label_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
9,Deparature_Date_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
10,Datebox_Deparature_Date,Enter the value [<Data>] in the Field [<Object>],Set,%Date%,,Reservation_Request
11,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
12,Property_label_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
13,Property_value,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
14,Property_value,Clear text [<Data>] from object [<Object>].,clear,,,Reservation_Request
15,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
16,Property_value,Enter the value [<Data>] in the Field [<Object>],Set,@Aria,,Reservation_Request
17,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
"//18",Property_value,Enter the value [<Data>] in the Field [<Object>],clear,,,Reservation_Request
"//19",Browser,Wait for [<Data>] milli seconds,pause,@8000,,
"//20",Property_value,Enter the value [<Data>] in the Field [<Object>],Set,@Aria,,Reservation_Request
21,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
22,Browser,Click on the Random Variable that is matching with the Xpath provided,ClickByJsOnRandomElement,@Aria,//span/span[text()=';'],
23,Room_type_labe_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
24,Room_type_input_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
25,Room_type_input_field,Clear text [<Data>] from object [<Object>].,clickByJS,,,Reservation_Request
26,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
27,Room_type_input_field,Clear text [<Data>] from object [<Object>].,clear,,,Reservation_Request
28,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
29,Room_type_input_field,Enter the value [<Data>] in the Field [<Object>],Set,@Testing,,Reservation_Request
30,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
"//31",Room_type_input_field,Enter the value [<Data>] in the Field [<Object>],clear,,,Reservation_Request
"//32",Browser,Wait for [<Data>] milli seconds,pause,@2000,,
"//33",Room_type_input_field,Enter the value [<Data>] in the Field [<Object>],Set,@Testing,,Reservation_Request
34,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
35,Browser,Click on the Random Variable that is matching with the Xpath provided,ClickOnRandomElement,@Testing,//span/span[text()=';'],
36,Comp_Profile_label_field,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
37,Comp_profile_dropdown_Param,Assert if [<Object>] is present,setObjectProperty,@RMCOMP,"#Comp",Reservation_Request
38,Comp_profile_dropdown_Param,Assert if [<Object>]'s Text Equals [<Data>],assertElementPresent,,,Reservation_Request
39,Comp_profile_dropdown_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@RFB100,"#Comp",Reservation_Request
40,Comp_profile_dropdown_Param,Assert if [<Object>] is present,assertElementPresent,,,Reservation_Request
