Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Application Url,Open,Login:Url,,
2,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
3,txt_Email,Enter the value [<Data>] in the Field [<Object>],Set,Login:UserEmail,,Login
4,Browser,Wait for Page to be loaded,pause,@3000,,
5,btn_Next,Click the [<Object>] button,Click,,,Login
6,Browser,Wait for Page to be loaded,pause,@5000,,
7,txt_Username,Enter the value [<Data>] in the Field [<Object>],Set,Login:UserId,,Login
8,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
9,txt_Password,Enter the value [<Data>] in the Field [<Object>],Set,Login:Password,,Login
10,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
11,btn_SignIn,"Click the [<Object>] ",Click,,,Login
12,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
13,txt_SecurityQuestion,Enter the value [<Data>] in the Field [<Object>],Set,Login:SecretQ,,Login
14,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
15,btn_Verify,"Click the [<Object>] ",Click,,,Login
16,Browser,Wait for [<Data>] milli seconds,pause,@30000,,
