Step,ObjectName,Description,Action,Input,Condition,Reference
1,btn_Task_ViewSelector,"Click the [<Object>] ",Click,,,Tasks_View
2,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
3,opt_CompletedTask_View,"Click the [<Object>] ",Click,,,Tasks_View
4,Browser,Wait for [<Data>] milli seconds,pause,@12000,,
5,lbl_ActivityStatus_Col,Highlight the element [<Object>],highlight,,,Tasks_View
6,lbl_ActivityStatus_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
7,lbl_Subject_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
8,lbl_MGM_Rewards_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
9,lbl_Regarding_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
10,lbl_CreatedOn_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
11,lbl_ActualEnd_Col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
12,btn_EditFilter,"Click the [<Object>] ",Click,,,Tasks_View
13,Browser,Wait for [<Data>] milli seconds,pause,@10000,,
14,txt_FilterActivityStatus_Completed,Assert if [<Object>] is present,waitForElementToBePresent,,20,Tasks_View
15,txt_FilterActivityStatus_Completed,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
16,txt_FilterOwnerEqualsCurrentUser,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
17,btn_Cancel_Edit_Filter,"Click the [<Object>] ",Click,,,Tasks_View
18,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
