Step,ObjectName,Description,Action,Input,Condition,Reference
1,ddl_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
2,ddl_Channel,"Click the [<Object>] ",Click,,,Tasks_Entity
3,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
4,opt_Channel_Option8,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
5,opt_Channel_Option9,Assert if [<Object>] is not present,assertElementNotPresent,,,Tasks_Entity
6,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@Addressed,"#channelvalue",Tasks_Entity
7,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
8,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@Email,"#channelvalue",Tasks_Entity
9,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
10,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@In-Person,"#channelvalue",Tasks_Entity
11,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
12,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@Letter,"#channelvalue",Tasks_Entity
13,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
14,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@Phone,"#channelvalue",Tasks_Entity
15,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
16,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@Text,"#channelvalue",Tasks_Entity
17,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
18,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,@WeChat,"#channelvalue",Tasks_Entity
19,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
20,opt_Channel_Param,Set object [<Object>] property  as [<Data>] at runtime,setObjectProperty,Tasks:Channel,"#channelvalue",Tasks_Entity
21,opt_Channel_Param,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//22",opt_Address_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//23",opt_Email_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//24",opt_InPerson_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//25",opt_Letter_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//26",opt_Phone_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//27",opt_Text_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//28",opt_WeChat_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
"//29",opt_WhatsApp_Channel,Assert if [<Object>] is present,assertElementPresent,,,Tasks_Entity
30,opt_Channel_Param,"Click the [<Object>] ",Click,,,Tasks_Entity
31,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
