Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Wait for [<Data>] milli seconds,pause,@18000,,
2,Browser,"Open the Entity from Sitemap Sub-area in MSCRM. ",MSCRM_OpenSitemapSubArea,@Tasks,,
3,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
4,btn_Task_ViewSelector,"Click the [<Object>] ",waitForElementToBePresent,,30,Tasks_View
5,btn_Task_ViewSelector,"Click the [<Object>] ",clickByJS,,,Tasks_View
6,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
7,Browser,Scroll to bottom,scrollToBottom,,,
8,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
9,opt_CompletedTask_View,"Click the [<Object>] ",waitForElementToBePresent,,20,Tasks_View
10,Browser,Wait for [<Data>] milli seconds,pause,@10000,,
11,opt_CompletedTask_View,"Click the [<Object>] ",Click,,,Tasks_View
12,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
13,txt_FilterByKeyword,Enter the value [<Data>] in the Field [<Object>],Set,%Subject%,,Tasks_View
14,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
15,btn_Arrow,"Click the [<Object>] ",Click,,,Tasks_View
16,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
17,Browser,"Creating Random Variable ",ClickOnRandomElement,%Subject%,"//a[contains(@aria-label,';')]",
18,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
19,opt_Substatus_Completed,And  User validates Substatus value is Completed,assertElementPresent,,,Tasks_Entity
