Step,ObjectName,Description,Action,Input,Condition,Reference
1,opt_MyTask_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
2,opt_NBA_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
3,opt_PreArrival_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
4,opt_PastDue_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
5,opt_OutboundOutreach_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
6,opt_PostCheckOut_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
7,opt_CompletedTask_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
8,opt_MyFollowUpTask_View,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
9,opt_ViewListCount_Eight,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
10,opt_ViewListCount_Nine,Assert if [<Object>] is not present,assertElementNotPresent,,,Tasks_View
